             name             |                setting                 | unit |       source       | sourcefile 
------------------------------+----------------------------------------+------+--------------------+------------
 application_name             | psql                                   |      | client             | 
 client_encoding              | UTF8                                   |      | client             | 
 DateStyle                    | ISO, MDY                               |      | configuration file | 
 TimeZone                     | Africa/Johannesburg                    |      | configuration file | 
 autovacuum_worker_slots      | 16                                     |      | configuration file | 
 checkpoint_completion_target | 0.9                                    |      | configuration file | 
 cluster_name                 | 18/main                                |      | configuration file | 
 default_text_search_config   | pg_catalog.english                     |      | configuration file | 
 dynamic_shared_memory_type   | posix                                  |      | configuration file | 
 effective_cache_size         | 262144                                 | 8kB  | configuration file | 
 lc_messages                  | C.UTF-8                                |      | configuration file | 
 lc_monetary                  | C.UTF-8                                |      | configuration file | 
 lc_numeric                   | C.UTF-8                                |      | configuration file | 
 lc_time                      | C.UTF-8                                |      | configuration file | 
 listen_addresses             | localhost                              |      | configuration file | 
 log_autovacuum_min_duration  | 0                                      | ms   | configuration file | 
 log_checkpoints              | on                                     |      | configuration file | 
 log_connections              | on                                     |      | configuration file | 
 log_disconnections           | on                                     |      | configuration file | 
 log_line_prefix              | %m [%p] %q%u@%d                        |      | configuration file | 
 log_min_duration_statement   | 250                                    | ms   | configuration file | 
 log_statement                | ddl                                    |      | configuration file | 
 log_timezone                 | Africa/Johannesburg                    |      | configuration file | 
 logging_collector            | on                                     |      | configuration file | 
 maintenance_work_mem         | 131072                                 | kB   | configuration file | 
 max_connections              | 100                                    |      | configuration file | 
 max_wal_size                 | 2048                                   | MB   | configuration file | 
 min_wal_size                 | 128                                    | MB   | configuration file | 
 pg_stat_statements.track     | all                                    |      | configuration file | 
 port                         | 5432                                   |      | configuration file | 
 shared_buffers               | 98304                                  | 8kB  | configuration file | 
 ssl                          | on                                     |      | configuration file | 
 ssl_cert_file                | /etc/ssl/certs/ssl-cert-snakeoil.pem   |      | configuration file | 
 ssl_key_file                 | /etc/ssl/private/ssl-cert-snakeoil.key |      | configuration file | 
 wal_level                    | replica                                |      | configuration file | 
 work_mem                     | 4096                                   | kB   | configuration file | 
(36 rows)

